txt_ind,txt_sun
abu,abu
adopsi,adopsi
aduh,adeuh
aktif,aktif
aku,abdi
alam,alam
alasan,alesan
aman,aman
amat,meuni
ambil,bantun
ancam,ancem
ancaman,ancaman
aneh,aheng
anehnya,ahengna
anggun,alus
anti,anti
antisipasi,antisipasi
api,seuneu
apresiasi,muji
asing,asing
asyik,asik
badass,ajib
bagi,jang
bagus,alus
bahagia,atoh
bahaya,bahaya
baik,alus
ban,ban
bangga,agul
bantu,banteun
batal,batal
batas,watas
bebas,bebas
beberapa,babaraha
bela,bela
belakang,pengker
benar,baleg
bencana,bala
benci,ceuceub
berani,ludeung
berarti,hartina
berat,abot
berbahaya,ngabahayakeun
berdarah,getihan
berdoa,ngadoa
berduka,berduka
berguna,guna
berhak,berhak
berharap,ngaharepkeun
beri,bere
berkomitmen,komitmen
berlebihan,leuleuwihan
bermanfaat,aya gunana
bersaing,nyaingan
bersama,bareng
bersedih,hanjelu
bersembunyi,nyumput
bersorak,ngagorowok
besar,ageung
biadab,biadab
biaya,biaya
bingung,bingung
bodoh,belet
bohong,bohong
bom,bom
buka,buka
bunga,kembang
bungkam,balem
bunuh,maehan
bunuh diri,bunuh diri
buruk,awon
buta,buta
cantik,ayu
capai,cape
cari,milarian
cedera,bareuh
cegah,cegah
cemas,hariwang
cepat,enggal
cerdas,calakan
cinta,bogoh
cium,ambeu
cocok,cocog
copet,copet
damai,damai
dapat,menang
daya,daya
diabaikan,diantepkeun
diam,anteng
diancam,diancam
dibersihkan,diberesihkeun
dicuri,dicolong
dihukum,dihukum
dikalahkan,dielehkeun
dipercaya,dipercanten
dipermalukan,dieera
dipertanyakan,dipertaroskeun
diprovokasi,diprovokasi
disebut-sebut,dicarioskeun
ditakuti,disieunan
ditangkap,ditangkeup
diteror,diteror
ditinggalkan,ditinggal
ditingkatkan,dironjatkeun
dituduh,dituduh
ditunda,ditunda
doa,du'a
doktrin,doktrin
duka,duka
dukung,dukung
dukungan,dukungan
efektif,efektif
eksklusif,eksklusif
empati,empati
fitnah,fitnah
fokus,fokus
gagah,digjaya
gagal,bedo
gampang,cetek
ganggu,ganggu
gaya,ceta
gelap,poek
gentar,gentar
gertak,gertak
gila,burung
guncang,endag
guncangan,endagan
ha,ha
habis,beak
hal,hal
hancur,ancur
hantu,demit
harapan,harapan
harga,hargi
harta,harta
hasil,hasil
hati,ati
hati-hati,ati-ati
hebat,dahsyat
heboh,geger
heroik,heroik
hidup,hirup
hilang,ical
hukum,hukum
ikut,milu
ilham,ilham
iman,iman
indah,endah
ingat,emut
ingin,arek
interogasi,interogasi
isi,eusi
istimewa,istimewa
jahat,durjana
jamin,jamin
jatuh,geubis
jawab,jawab
jaya,jaya
jelas,jentre
jelek,awon
jenis,jinis
jual,ical
kalah,eleh
kalimat,kalimah
kapal,kapal
karya,karya
kasihan,karunya
kaya,bagja
keadilan,kaadilan
keamanan,kaamanan
kebaikan,kaalusan
kebencian,kaceuceuban
keberanian,kawani
kebetulan,kabeneran
kecewa,kuciwa
kehancuran,kaancuran
kehilangan,kahilangan
kejahatan,kajahatan
kejam,kejam
keji,keji
kekayaan,kabagjaan
kekerasan,kakerasan
kekuatan,kakiatan
kelaparan,kalaparan
keluar,kaluar
kematian,kamatian
kembali,balik
kena,beunang
kenal,apal
kenyamanan,kamerenahan
kepentingan,kapentingan
keras,heuras
keren,ajib
kerugian,buntung
kerusakan,karajetan
kesalahan,kalepatan
kesan,kesan
kesempatan,kasempetan
kesepian,kesepian
kesulitan,kahese
ketakutan,kasieunan
ketat,heureut
ketegangan,karangkengan
kompak,kompak
konflik,konflik
konspirasi,konspirasi
korban,korban
korban jiwa,korban jiwa
kosong,euweuh
kotor,bagedur
kuat,kiat
kurang,kirang
kutuk,kutuk
kutukan,kutukan
langgar,langgar
larang,caram
larangan,larangan
lawan,lawan
layak,pantes
lebih,langkung
lebih baik,langkung sae
lembut,halus
lengkap,komplit
lenyap,lapur
lewat,langkung
lihat,deuleu
lmao,barakatak
luar biasa,luar biasa
lucu,lucu
luka,bareuh
lupa,hilap
maaf,hampura
mahal,awis
mampu,kaduga
marah,ambek
masalah,ihwal
mati,maot
mayat,layon
melakukan,ngadamel
melanggar,ngalanggar
melemahkan,ngalemahkeun
melindungi,nangtayungan
melumpuhkan,ngalumpuhkeun
memastikan,mastikeun
membahayakan,ngabahayakeun
membantu,ngabantos
membatalkan,ngabatalkeun
membenci,ceuceub
membuka,muka
membunuh,maehan
memerangi,memerangi
mempertanyakan,dipikataros
memuji,muji
menahan,nahan
menanti,ngadagoan
menarik,betot
mencurigakan,nyurigakeun
mendapatkan,nampi
menderita,nalangsa
mendoktrin,ngadoktrin
mendorong,ngadorong
mendukung,ngadukung
mendung,ceudeum
menembak,newak
menerima,nampi
mengakui,ngaku
mengamankan,ngamankeun
mengeluarkan,ngaluarkeun
mengembalikan,malikeun
mengerikan,keeung
menghancurkan,ngancurkeun
menghargai,ngahargaan
menghindari,ngahindaran
mengusir,ngusir
mengutuk,ngalaknat
meninggal,maot
meningkatkan,ngaronjatkeun
menolak,nampik
menunggu,ngadagoan
menurunkan,lungsurkeun
menyadari,eling
menyalahkan,nyalahkeun
menyambut,ngabageakeun
menyebabkan,nyebabkeun
menyerang,narajang
menyeret,ngagusur
menyesatkan,nyesatkeun
menyita,nyita
meragukan,ngaragukeun
meruntuhkan,ngarugrugkeun
minta,menta
minta maaf,menta hampura
miskin,malarat
moga,mugia
muda,anom
mudah,gampang
muka,beungeut
mulia,mulya
mundur,mundur
murah,mirah
murka,ambek
musuh,musuh
nanti,engke
nekat,nekad
neraka,naraka
ngeri,keeung
ngerti,ngarti
nilai,nilai
oke,enya
oleh,ku
orang bodoh,jalmi belet
pada,dina
padat,padet
pahlawan,pahlawan
palsu,palsu
panas,hareudang
panik,hibut
panjang,panjang
pantat,bujur
parodi,heureuy
pasti,pasti
pecah,beulah
peduli,paduli
pelaku,palaku
pelaku kejahatan,palaku kajahatan
pembela,nu ngabela
pemberani,nu wani
pemberontakan,karaman
penangkapan,panangkapan
pendukung,nu ngadukung
penembakan,panembakan
pengecut,kecingan
pengunjung,nu sumping
penjara,panjara
penting,penting
penuh,pinuh
penularan,panepaan
penyelamat,penyelamat
penyelidikan,panyelidikan
perampok,bajo
perang,perang
perasaan,rarasaan
percaya,percanten
perdamaian,katengtreman
peringatan,pangemutan
perjuangan,perjuangan
pertanyaan,pertarosan
pertempuran,pertempuran
pikir,mikir
pintar,calakan
populer,kakoncara
positif,positif
potong,beulah
puja,muja
puji,muji
pukul,babuk
pulih,cageur
pura,pura
pusing,lieur
racun,peurah
rahmat,rahmat
rampas,jabel
ras,ras
raya,ageung
rela,ikhlas
rindu,sono
runtuh,rugrug
sadar,eling
saham,saham
sakit,gering
salah,lepat
salam,salam
salut,salut
sama,sami
samping,gigir
sangat,meuni
santai,jongjon
sapa,nyapa
saran,bongbolongan
sayang,deudeuh
sebab,sabab
sebut,carios
sedih,hanjelu
segan,segen
selamat,salamat
selesai,beres
semangat,sumanget
sembunyi,nyumput
semoga,mugia
sempat,kaburu
senang,atoh
sendiri,nyalira
senjata,pakarang
senyum,keom
seperti,jiga
sepi,jempling
seragam,saragam
seram,pikasieuneun
serang,rajang
serangan,rajangan
serikat,sarikat
siap,siap
sigap,sigap
silahkan,mangga
simpati,simpati
simpatik,simpatik
solidaritas,solidaritas
sopan,lemes
stres,aral
striker,nu ngarajang
suap,huap
suka,bogoh
sulit,hese
super,pisan
surga,sorga
susah,hese
tabah,pangger
tabrak,nabrak
tahan,nahan
tahanan,palisan
tak kalah,teu eleh
takut,sieun
tanggung jawab,tanggung jawab
tangis,ceurik
tangkap,nanggep
tantangan,tangtangan
tanya,taros
tegang,kaku
tegas,teges
tembak,bedil
tempur,tempur
tenang,anteng
tenggelam,tikarelep
tentang,ihwal
tentu,tangtos
teramat,pang
terbesar,pang ageungna
terbunuh,kabunuh
terganggu,kaganggu
tergantung,gumantung
teriak,goak
teriakan,goakan
terima,nampi
terima kasih,hatur nuhun
terimakasih,hatur nuhun
terkejut,reuwas
terkena,beunang
terluka,getihan
teror,teror
terpengaruh,kapangaruh
tersangka,kasangka
tersinggung,kasigeung
tertarik,kabedol
tertentu,nu tangtos
tertinggal,katinggalan
tidak,heunteu
tidak aman,teu aman
tinggal,dumuk
tingkat,ronjat
tragedi,tragedi
trauma,trauma
tubuh,awak
tuduhan,tuduhan
tukang jualan,tukang dagang
tumpas,numpas
tunda,nunda
tunggu,dago
turun,lungsur
tutup,turub
uang,acis
untung,untung
utuh,kumplit
wajib,kudu
waspada,waspada
wow,wow
ya,enya
yakin,percanten
enam,gənəp
selasa,salasa
sabtu,saptu
minggu,minggu
matematika,matématika
