id,text,anger,disgust,fear,joy,sadness,text_tn
afr_train_track_a_00001,Ons sal gesondheidsprogramme in skole herinstel.,0,0,0,1,0,Urang bakal mulangkeun program kaséhatan di sakola.
afr_train_track_a_00002,Ons moet verstaan dat ons in landbou een groot familie is en dat ons mekaar nodig het.,0,0,0,1,0,Urang kedah ngartos yén dina tatanén urang mangrupikeun hiji kulawarga ageung sareng urang peryogi silih.
afr_train_track_a_00003,Hulle is die trots van die Boland en hulle hoort hier by julle.,0,0,0,1,0,Aranjeunna kareueus Boland sareng aranjeunna milik di dieu sareng anjeun.
afr_train_track_a_00004,Ek sou nog baie voorbeelde vir u kon noem.,0,0,0,0,0,Abdi tiasa masihan anjeun langkung seueur conto.
afr_train_track_a_00005,In ons bedryf loon dit gewoonlik om geduldig te wees.,0,0,0,1,0,"Dina industri urang, biasana mayar sabar."
afr_train_track_a_00006,Daar is in konserwatisme 'n groot rol om te speel in die nuwe Suid Afrika.,0,0,0,0,0,Konservatisme ngagaduhan peran anu ageung di Afrika Kidul anu énggal.
afr_train_track_a_00007,Elke kind kry n mondstuk en word aangemoedig om mond tot mond asemhaling op die pop te oefen.,0,0,0,0,0,Unggal murangkalih dibéré sapotong sungut sareng didorong pikeun latihan napas tina sungut ka sungut dina boneka.
afr_train_track_a_00008,"Op die terrein van vervoer, sal ons ons padnetwerk in stand hou en uitbrei.",0,0,0,1,0,"Dina widang transportasi, urang bakal ngajaga sareng ngalegaan jaringan jalan."
afr_train_track_a_00009,"Hierdie voorsiening is nie beperk tot Suid-Afrika nie, maar kom wêreldwyd voor.",0,0,0,1,0,"Penyediaan ieu henteu dugi ka Afrika Kidul, tapi lumangsung di sakuliah dunya."
afr_train_track_a_00010,Die susters glo ook dat hul moeder daarteen gekant was dat haar lied soos Ellie Rhee op elke straathoek gesing word.,0,0,0,0,0,Sadulur ogé yakin yén indungna ngalawan lagu na ditembangkeun sapertos Ellie Rhee di unggal juru jalan.
afr_train_track_a_00011,"Uiteraard kan ek, binne die toegelate tyd, nie op al die seëls ingaan nie.",0,0,0,0,0,"Jelas, abdi teu tiasa lebet kana sagala perangko dina waktu diwenangkeun."
afr_train_track_a_00012,Ons is tevrede met die vordering van die regering op sommige terreine.,0,0,0,1,0,Kami sugema ku kamajuan pamaréntahan di sababaraha daérah.
afr_train_track_a_00013,"Staatsdiens het mos nie meer geld nie, né).",0,0,0,0,1,"PNS teu gaduh artos deui, leres)."
afr_train_track_a_00014,Hierdie loodsprojekte behoort teen die einde van die jaar afgehandel te wees.,0,0,0,0,0,Proyék pilot ieu kedah réngsé dina ahir taun.
afr_train_track_a_00015,Baie families se lewens is onherroeplik geraak deur die dood van hul naasbestaandes.,0,0,0,0,1,Kahirupan seueur kulawarga parantos kapangaruhan ku maotna anu dipikacinta.
